Points (mm),meanU (m/s),<u'u'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'v'> (m2/s2),<v'w'> (m2/s2),<w'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
435,12.85716,1.18261,-0.5476,0,0.295651984,0,0.756869079,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
445,12.77276,1.1569,-0.5476,0,0.289224705,0,0.740415244,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
455,12.89521,1.20385,-0.5476,0,0.30096221,0,0.770463258,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
465,12.97525,1.0815,-0.5476,0,0.27037543,0,0.692161101,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
475,13.02677,1.11097,-0.5476,0,0.277742443,0,0.711020655,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
485,13.09747,1.07328,-0.5476,0,0.268320011,0,0.686899229,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
495,13.06623,1.00351,-0.5476,0,0.250877674,0,0.642246846,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
505,13.18287,1.01668,-0.5476,0,0.254169412,0,0.650673695,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
515,13.19392,0.97424,-0.5476,0,0.243560316,0,0.623514409,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
525,13.29259,0.96752,-0.5476,0,0.241879799,0,0.619212285,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
535,13.34109,0.9418,-0.5476,0,0.235449811,0,0.602751516,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
545,13.37686,0.93017,-0.5476,0,0.232542997,0,0.595310073,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
555,13.46489,0.86993,-0.5476,0,0.21748328,0,0.556757197,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
565,13.56058,0.83658,-0.5476,0,0.209145282,0,0.535411922,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
575,13.59932,0.79561,-0.5476,0,0.198901252,0,0.509187206,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
585,13.60723,0.82022,-0.5476,0,0.205054298,0,0.524939002,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
595,13.66543,0.78583,-0.5476,0,0.196457502,0,0.502931206,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
605,13.71205,0.76034,-0.5476,0,0.19008599,0,0.486620133,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
605,13.7191,0.75353,-0.5476,0,0.188382027,0,0.482257989,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
615,13.70066,0.73037,-0.5476,0,0.182591669,0,0.467434674,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
625,13.778,0.67423,-0.5476,0,0.168557563,0,0.431507362,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
635,13.84237,0.69213,-0.5476,0,0.173033342,0,0.442965356,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
645,13.81848,0.68104,-0.5476,0,0.170259489,0,0.435864292,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
655,13.94719,0.62673,-0.5476,0,0.156682829,0,0.401108041,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
665,13.92221,0.64271,-0.5476,0,0.160677497,0,0.411334392,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
675,13.95855,0.63785,-0.5476,0,0.159462694,0,0.408224497,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
685,13.98888,0.61217,-0.5476,0,0.153041657,0,0.391786641,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
695,14.02804,0.58039,-0.5476,0,0.145096334,0,0.371446616,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
705,14.02278,0.5791,-0.5476,0,0.144774214,0,0.370621987,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
715,14.09767,0.55217,-0.5476,0,0.138043599,0,0.353391614,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
725,14.11914,0.53287,-0.5476,0,0.133217933,0,0.341037908,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
735,14.13968,0.51145,-0.5476,0,0.127861669,0,0.327325872,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
745,14.16808,0.49762,-0.5476,0,0.124405565,0,0.318478246,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
755,14.21855,0.51741,-0.5476,0,0.129353052,0,0.331143813,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
765,14.23493,0.49564,-0.5476,0,0.123910176,0,0.317210051,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
775,14.20352,0.46684,-0.5476,0,0.116710685,0,0.298779355,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
785,14.3128,0.46572,-0.5476,0,0.116430685,0,0.298062554,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
795,14.27513,0.45217,-0.5476,0,0.113042865,0,0.289389735,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
805,14.32097,0.44448,-0.5476,0,0.111120842,0,0.284469356,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
815,14.34655,0.44953,-0.5476,0,0.112383349,0,0.287701375,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
825,14.39015,0.42468,-0.5476,0,0.106169509,0,0.271793944,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
835,14.38678,0.41676,-0.5476,0,0.104191159,0,0.266729367,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
845,14.39742,0.41705,-0.5476,0,0.104263624,0,0.266914877,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
855,14.43626,0.40346,-0.5476,0,0.100864502,0,0.258213125,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
865,14.47312,0.38353,-0.5476,0,0.095882076,0,0.245458113,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
875,14.43915,0.39227,-0.5476,0,0.098067296,0,0.251052278,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
885,14.49933,0.37993,-0.5476,0,0.094983016,0,0.243156521,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
895,14.47096,0.38404,-0.5476,0,0.096010573,0,0.245787066,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
905,14.55384,0.36249,-0.5476,0,0.090623657,0,0.231996561,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
915,14.58434,0.36766,-0.5476,0,0.09191474,0,0.235301736,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
925,14.58232,0.34242,-0.5476,0,0.085604246,0,0.219146869,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
935,14.60291,0.34721,-0.5476,0,0.086802124,0,0.222213438,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
945,14.54663,0.34733,-0.5476,0,0.086831613,0,0.22228893,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
955,14.59961,0.35998,-0.5476,0,0.089995184,0,0.230387671,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
965,14.63445,0.34569,-0.5476,0,0.08642252,0,0.221241652,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
975,14.53489,0.34664,-0.5476,0,0.086659194,0,0.221847536,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
985,14.631,0.3639,-0.5476,0,0.090976174,0,0.232899005,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
995,14.61131,0.35495,-0.5476,0,0.088736816,0,0.22716625,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1005,14.63812,0.34833,-0.5476,0,0.087081343,0,0.222928238,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1015,14.68805,0.33165,-0.5476,0,0.082913235,0,0.212257882,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1025,14.71384,0.3368,-0.5476,0,0.08419992,0,0.215551794,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1035,14.72793,0.32423,-0.5476,0,0.081057528,0,0.207507272,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1045,14.69686,0.33367,-0.5476,0,0.083418508,0,0.21355138,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1055,14.74584,0.32967,-0.5476,0,0.082418708,0,0.210991892,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1065,14.71049,0.32235,-0.5476,0,0.080587961,0,0.206305179,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1075,14.75029,0.31638,-0.5476,0,0.079096245,0,0.202486388,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1085,14.8087,0.31598,-0.5476,0,0.07899429,0,0.202225382,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1095,14.72469,0.31668,-0.5476,0,0.079170977,0,0.202677702,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1105,14.80033,0.32046,-0.5476,0,0.080115781,0,0.205096398,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1115,14.77585,0.32683,-0.5476,0,0.081706509,0,0.209168662,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1125,14.79616,0.33349,-0.5476,0,0.083372663,0,0.213434017,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1135,14.81377,0.31423,-0.5476,0,0.078558391,0,0.20110948,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1145,14.84518,0.31543,-0.5476,0,0.078856753,0,0.201873288,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1155,14.83661,0.31127,-0.5476,0,0.077816627,0,0.199210565,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1165,14.86377,0.31278,-0.5476,0,0.078194117,0,0.200176939,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1175,14.87066,0.30686,-0.5476,0,0.076715814,0,0.196392485,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1185,14.85467,0.30944,-0.5476,0,0.077360014,0,0.198041635,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1195,14.85992,0.31944,-0.5476,0,0.079859539,0,0.20444042,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1205,14.89045,0.30384,-0.5476,0,0.075958953,0,0.194454921,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1205,14.87307,0.29772,-0.5476,0,0.074430211,0,0.190541341,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1215,14.87076,0.302,-0.5476,0,0.075500625,0,0.193281601,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1225,14.84791,0.28843,-0.5476,0,0.07210706,0,0.184594074,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1235,14.89139,0.29668,-0.5476,0,0.074169986,0,0.189875165,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1245,14.89736,0.28867,-0.5476,0,0.072168448,0,0.184751228,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1255,14.95095,0.29795,-0.5476,0,0.074486839,0,0.190686307,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1265,14.93962,0.28927,-0.5476,0,0.072317159,0,0.185131927,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1275,14.94407,0.2899,-0.5476,0,0.072475881,0,0.185538254,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
