Points (mm),<u'u'> (m2/s2),<v'v'> (m2/s2),<w'w'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
1295.00000,0.27917,-0.06026,0.00000,0.17817,0.00000,0.16059,0.23443,0.06330,0.06564,0.04689,0.01407,0.01641,0.10784,0.03282,0.07502
1305.00000,0.28306,-0.06720,0.00000,0.18534,0.00000,0.16022,0.27638,0.07462,0.07739,0.05528,0.01658,0.01935,0.12713,0.03869,0.08844
1315.00000,0.28130,-0.07037,0.00000,0.18049,0.00000,0.15188,0.27384,0.07394,0.07668,0.05477,0.01643,0.01917,0.12597,0.03834,0.08763
1325.00000,0.28179,-0.05982,0.00000,0.17956,0.00000,0.16144,0.32249,0.08707,0.09030,0.06450,0.01935,0.02257,0.14835,0.04515,0.10320
1335.00000,0.28465,-0.06462,0.00000,0.18548,0.00000,0.15232,0.26520,0.07160,0.07426,0.05304,0.01591,0.01856,0.12199,0.03713,0.08486
1345.00000,0.28557,-0.06773,0.00000,0.18031,0.00000,0.15704,0.81603,0.22033,0.22849,0.16321,0.04896,0.05712,0.37537,0.11424,0.26113
1355.00000,0.28387,-0.06815,0.00000,0.19096,0.00000,0.15512,0.30731,0.08297,0.08605,0.06146,0.01844,0.02151,0.14136,0.04302,0.09834
1365.00000,0.29271,-0.07484,0.00000,0.18094,0.00000,0.15550,0.40731,0.10997,0.11405,0.08146,0.02444,0.02851,0.18736,0.05702,0.13034
1375.00000,0.27958,-0.05526,0.00000,0.18097,0.00000,0.15233,0.97428,0.26306,0.27280,0.19486,0.05846,0.06820,0.44817,0.13640,0.31177
1385.00000,0.27853,-0.05083,0.00000,0.19194,0.00000,0.15921,0.33432,0.09027,0.09361,0.06686,0.02006,0.02340,0.15379,0.04681,0.10698
1395.00000,0.27527,-0.06073,0.00000,0.18960,0.00000,0.15686,0.24011,0.06483,0.06723,0.04802,0.01441,0.01681,0.11045,0.03361,0.07683
1405.00000,0.28716,-0.05940,0.00000,0.18461,0.00000,0.15139,0.28036,0.07570,0.07850,0.05607,0.01682,0.01963,0.12897,0.03925,0.08972
1415.00000,0.27896,-0.05249,0.00000,0.18416,0.00000,0.15114,0.29658,0.08008,0.08304,0.05932,0.01780,0.02076,0.13643,0.04152,0.09491
1425.00000,0.28169,-0.05566,0.00000,0.18481,0.00000,0.15272,0.28013,0.07564,0.07844,0.05603,0.01681,0.01961,0.12886,0.03922,0.08964
1435.00000,0.28079,-0.05164,0.00000,0.19087,0.00000,0.14916,0.25799,0.06966,0.07224,0.05160,0.01548,0.01806,0.11868,0.03612,0.08256
1445.00000,0.27014,-0.05843,0.00000,0.18212,0.00000,0.16018,0.27566,0.07443,0.07718,0.05513,0.01654,0.01930,0.12680,0.03859,0.08821
1455.00000,0.28344,-0.05717,0.00000,0.18472,0.00000,0.15804,0.24745,0.06681,0.06929,0.04949,0.01485,0.01732,0.11383,0.03464,0.07919
1465.00000,0.28091,-0.04409,0.00000,0.19117,0.00000,0.15366,0.25770,0.06958,0.07216,0.05154,0.01546,0.01804,0.11854,0.03608,0.08246
1475.00000,0.26678,-0.04943,0.00000,0.19054,0.00000,0.15500,0.25746,0.06951,0.07209,0.05149,0.01545,0.01802,0.11843,0.03604,0.08239
